s0,s10,s90,s90d,red_flag
90,115,66,248,1
106,158,249,248,1
73,52,53,160,1
110,250,249,248,1
40,65,249,248,1
62,58,20,43,1
78,52,55,169,1
251,252,249,248,1
148,252,249,248,1
133,251,249,248,1
69,50,56,141,1
30,63,249,248,1
79,62,249,248,1
110,145,249,248,1
87,124,249,248,1
78,51,74,248,1
122,141,249,248,1
54,78,249,248,1
73,46,98,144,1
164,117,249,248,1
75,115,249,248,1
75,50,49,142,1
185,186,249,248,1
65,65,249,248,1
55,132,249,248,1
75,44,42,154,1
73,149,249,248,1
134,95,249,248,1
61,23,24,44,1
74,50,40,176,1
251,166,249,248,1
72,45,79,197,1
76,49,62,165,1
252,217,249,248,1
119,206,249,248,1
77,49,86,248,1
41,141,249,248,1
162,150,249,248,1
112,141,249,248,1
74,44,74,185,1
166,129,249,248,1
86,116,249,248,1
48,35,8,0,0
118,81,105,8,0
60,31,12,4,0
72,50,73,248,1
251,190,249,248,1
105,167,249,248,1
46,30,10,1,0
41,43,4,0,0
60,48,15,1,0
70,48,89,203,1
250,167,249,248,1
20,149,249,248,1
22,149,249,248,1
67,137,249,248,1
38,33,11,0,0
92,69,65,12,0
76,54,73,184,1
248,252,249,248,1
123,251,249,248,1
102,89,106,7,0
75,50,63,143,1
252,215,249,248,1
82,188,249,248,1
73,50,73,182,1
250,252,249,248,1
140,251,249,248,1
134,249,249,248,1
37,33,4,0,0
101,87,100,10,0
53,37,10,2,0
48,40,10,0,0
46,34,6,2,0
34,30,5,3,0
102,78,89,13,0
42,35,6,0,0
54,40,9,0,0
65,51,11,0,0
123,109,112,19,0
51,44,10,0,0
43,22,5,0,0
14,17,249,38,1
109,80,84,8,0
96,45,14,1,0
49,40,9,2,0
78,47,20,103,1
104,252,249,248,1
60,17,21,4,0
119,89,157,18,0
75,50,54,189,1
113,250,249,248,1
99,72,70,7,0
76,48,49,150,1
45,116,249,248,1
181,138,249,248,1
98,78,75,18,0
75,41,3,4,0
98,57,19,2,0
90,80,62,7,0
52,40,7,2,0
96,78,95,15,0
52,40,11,3,0
97,79,59,7,0
51,41,32,6,0
74,53,69,168,1
252,252,249,248,1
252,251,249,248,1
78,101,95,32,0
85,86,166,128,1
97,61,27,1,0
44,41,6,1,0
40,38,4,0,0
114,101,108,14,0
61,45,9,0,0
96,76,84,6,0
106,76,91,14,0
74,53,65,180,1
251,203,249,248,1
60,177,249,248,1
114,129,150,22,0
93,55,14,0,0
78,40,4,1,0
30,31,9,0,0
42,31,7,6,0
91,76,58,6,0
71,77,117,108,1
76,49,49,155,1
250,252,249,248,1
251,251,249,248,1
50,43,10,0,0
102,64,32,0,0
98,93,113,21,0
40,41,8,0,0
117,55,79,14,0
41,40,4,0,0
102,78,92,11,0
46,40,15,4,0
42,34,5,2,0
11,14,7,2,0
76,55,66,182,1
252,252,249,248,1
252,251,249,248,1
44,35,7,2,0
95,91,66,21,0
38,35,5,5,0
41,28,8,0,0
123,65,81,11,0
64,51,13,0,0
96,80,82,18,0
47,39,6,3,0
38,32,6,0,0
98,92,81,12,0
76,52,67,191,1
103,86,126,11,0
54,36,9,1,0
108,81,86,7,0
107,75,68,9,0
101,73,58,8,0
73,53,58,142,1
123,252,249,248,1
51,46,19,16,0
103,85,87,12,0
40,32,9,0,0
107,81,89,14,0
100,91,85,9,0
109,85,79,9,0
50,40,8,3,0
44,37,7,3,0
121,119,116,19,0
108,79,110,11,0
101,76,67,7,0
40,38,10,0,0
39,31,12,4,0
101,96,96,16,0
46,48,7,0,0
89,80,75,8,0
56,50,7,0,0
118,77,78,14,0
13,12,14,2,0
141,123,172,22,0
29,29,6,0,0
49,36,11,3,0
46,39,5,0,0
95,72,72,12,0
99,91,74,10,0
79,54,12,116,1
102,252,249,248,1
63,54,9,2,0
107,80,80,16,0
100,90,84,13,0
31,25,5,3,0
49,37,13,4,0
43,22,6,0,0
78,51,63,138,1
116,252,249,248,1
103,81,81,4,0
54,44,7,1,0
35,37,4,0,0
88,74,97,8,0
91,53,20,3,0
108,81,94,20,0
93,75,67,3,0
52,42,9,0,0
44,49,10,0,0
65,37,13,0,0
54,36,11,1,0
108,82,51,5,0
41,34,9,0,0
38,26,5,0,0
104,84,85,16,0
110,85,99,17,0
113,108,106,27,0
45,34,11,2,0
47,42,8,0,0
97,48,15,1,0
106,76,69,11,0
96,44,19,0,0
45,37,10,0,0
43,36,7,2,0
109,79,96,4,0
89,50,25,7,0
102,84,104,22,0
105,69,86,11,0
95,92,128,7,0
94,81,96,6,0
50,35,5,0,0
46,36,11,2,0
104,40,106,43,1
47,40,9,1,0
37,29,7,2,0
38,39,11,1,0
39,36,7,0,0
46,38,8,0,0
36,27,12,0,0
48,35,5,4,0
74,48,26,94,1
127,252,249,248,1
47,33,8,2,0
114,108,107,19,0
96,71,58,7,0
86,42,9,2,0
44,36,7,0,0
92,49,18,3,0
97,88,107,18,0
98,79,62,15,0
106,72,109,17,0
54,53,11,0,0
44,29,4,3,0
101,76,72,3,0
46,31,9,0,0
74,47,45,127,1
113,225,249,248,1
110,80,119,18,0
116,60,72,9,0
102,83,81,11,0
33,26,6,0,0
44,26,9,1,0
107,86,63,9,0
101,69,95,5,0
49,32,8,0,0
49,29,13,0,0
107,92,106,21,0
44,36,14,4,0
42,36,14,1,0
42,33,14,0,0
46,47,4,0,0
110,79,102,11,0
109,71,98,8,0
46,36,8,5,0
87,44,20,3,0
44,37,8,1,0
36,33,4,0,0
110,89,100,11,0
38,32,6,7,0
104,66,73,13,0
113,79,100,7,0
54,41,9,3,0
38,40,7,0,0
112,83,83,6,0
93,73,70,5,0
90,48,16,3,0
49,39,12,4,0
19,25,13,0,0
103,74,101,11,0
97,90,98,10,0
22,14,13,0,0
54,33,6,0,0
109,84,98,14,0
49,31,5,1,0
71,54,88,181,1
122,252,249,248,1
18,12,10,4,0
47,37,5,0,0
89,44,15,0,0
83,94,71,56,1
106,69,98,13,0
46,34,7,3,0
102,56,27,0,0
103,76,100,6,0
93,82,96,7,0
46,33,14,1,0
104,71,75,16,0
103,89,94,12,0
41,41,8,0,0
131,82,93,22,0
79,48,11,0,0
43,36,8,0,0
107,81,105,17,0
59,37,1,4,0
102,89,86,18,0
110,74,106,25,0
107,84,93,7,0
37,32,6,0,0
50,10,24,1,0
94,96,119,14,0
45,34,9,0,0
101,88,67,9,0
40,39,5,0,0
38,34,12,0,0
40,32,6,4,0
32,31,10,1,0
96,47,26,0,0
44,33,8,0,0
43,38,6,2,0
39,31,12,0,0
107,80,91,12,0
121,81,108,12,0
112,82,110,19,0
44,41,7,0,0
134,138,249,248,1
42,29,12,0,0
34,32,5,0,0
96,83,91,10,0
104,91,58,11,0
104,80,85,12,0
54,45,12,2,0
106,64,17,1,0
96,101,138,33,0
37,39,12,0,0
97,71,62,10,0
46,37,10,0,0
36,30,8,1,0
94,70,87,18,0
77,48,7,69,1
125,252,249,248,1
28,19,11,0,0
33,37,4,0,0
97,80,99,12,0
92,50,31,0,0
112,47,16,1,0
99,77,69,18,0
100,77,97,12,0
89,52,20,0,0
33,21,5,0,0
46,51,12,0,0
49,31,17,4,0
51,37,13,5,0
59,42,13,4,0
88,72,55,6,0
31,34,6,8,0
47,39,6,0,0
85,53,20,4,0
42,34,10,0,0
87,63,42,5,0
44,36,14,0,0
106,104,116,19,0
42,35,15,1,0
80,54,12,132,1
100,252,249,248,1
17,25,9,5,0
96,74,57,1,0
107,47,20,0,0
42,40,10,0,0
36,32,8,1,0
58,50,8,1,0
102,75,88,14,0
110,78,118,11,0
47,42,8,2,0
44,27,8,0,0
103,78,79,18,0
111,67,78,7,0
29,27,2,0,0
41,39,10,0,0
100,85,79,10,0
97,83,66,13,0
121,58,94,18,0
103,70,71,8,0
116,80,125,25,0
41,26,11,3,0
93,80,79,9,0
38,37,5,3,0
10,19,10,0,0
109,87,108,15,0
109,82,68,6,0
34,27,7,0,0
63,45,11,0,0
114,63,100,15,0
43,37,12,0,0
47,43,5,2,0
46,39,7,0,0
99,78,92,14,0
97,79,61,13,0
52,35,11,0,0
36,29,7,3,0
93,74,75,10,0
47,36,9,4,0
43,35,7,0,0
107,87,73,7,0
47,31,9,0,0
51,37,14,0,0
95,93,112,23,0
109,86,100,9,0
82,39,19,0,0
126,86,147,19,0
115,87,126,15,0
45,40,8,3,0
49,32,5,1,0
100,74,73,4,0
117,81,78,12,0
37,25,7,0,0
47,42,13,0,0
91,54,17,3,0
101,90,87,17,0
34,39,6,0,0
101,84,81,9,0
95,96,76,13,0
98,67,109,13,0
47,37,5,2,0
77,70,104,88,1
102,76,65,4,0
33,29,12,0,0
53,38,16,2,0
105,81,93,16,0
100,55,28,0,0
47,35,9,0,0
47,27,7,3,0
102,77,104,20,0
122,91,163,23,0
36,34,10,4,0
50,35,6,7,0
80,55,12,123,1
97,252,249,248,1
33,29,5,4,0
41,41,12,0,0
40,34,7,2,0
44,36,9,0,0
104,68,70,8,0
41,37,5,6,0
36,34,6,0,0
75,51,68,172,1
250,252,249,248,1
121,251,249,248,1
16,14,15,0,0
49,35,5,0,0
107,93,89,10,0
51,28,10,2,0
107,82,92,13,0
49,51,6,0,0
87,45,26,3,0
92,79,80,12,0
51,41,13,0,0
108,75,114,19,0
100,69,111,14,0
104,74,81,9,0
58,35,14,8,0
104,73,96,28,0
102,97,164,16,0
37,43,3,1,0
55,33,12,3,0
105,94,84,12,0
47,32,5,0,0
96,94,105,19,0
97,49,21,3,0
106,72,70,14,0
15,20,6,6,0
50,37,7,0,0
37,32,13,2,0
38,31,11,2,0
44,35,9,0,0
30,21,2,0,0
44,43,8,0,0
97,83,69,13,0
109,60,23,0,0
129,82,48,5,0
52,35,6,0,0
41,38,6,0,0
96,66,70,15,0
31,35,4,0,0
93,72,91,17,0
67,53,14,1,0
50,94,249,248,1
37,31,6,0,0
114,66,99,14,0
44,36,14,0,0
118,87,118,15,0
46,31,10,3,0
32,31,9,3,0
113,87,132,19,0
94,43,30,1,0
41,32,8,0,0
97,72,84,9,0
109,88,113,17,0
134,163,249,248,1
101,76,66,7,0
36,30,8,5,0
51,31,11,0,0
98,77,95,8,0
60,45,13,1,0
34,34,8,0,0
40,30,11,0,0
109,100,117,24,0
108,81,86,7,0
37,36,8,0,0
102,70,83,14,0
102,70,85,4,0
37,33,7,0,0
33,29,11,0,0
35,25,9,3,0
122,78,155,14,0
103,75,85,13,0
46,31,9,2,0
115,79,97,14,0
112,89,84,12,0
120,101,104,28,0
52,36,11,0,0
96,44,66,4,0
41,34,10,0,0
100,86,87,8,0
98,91,92,19,0
33,31,10,1,0
51,31,13,0,0
47,27,8,0,0
96,97,68,13,0
12,21,9,0,0
96,81,73,21,0
38,39,8,0,0
94,80,73,11,0
76,37,40,5,0
101,70,93,14,0
39,25,11,2,0
42,40,12,2,0
46,36,8,0,0
99,64,30,0,0
103,81,139,24,0
103,46,20,5,0
90,47,24,0,0
15,14,14,0,0
103,87,58,12,0
43,36,2,0,0
104,82,84,11,0
45,38,6,0,0
37,32,15,0,0
81,65,52,14,0
56,90,161,154,1
45,32,17,1,0
96,45,28,0,0
98,74,70,8,0
46,41,8,0,0
101,66,68,11,0
90,74,79,20,0
14,12,11,0,0
107,76,61,8,0
73,81,118,73,1
40,34,6,3,0
41,33,9,1,0
98,76,106,12,0
94,91,86,8,0
92,83,92,12,0
104,74,89,19,0
44,35,11,1,0
99,72,73,7,0
42,40,7,3,0
58,31,9,1,0
53,39,6,0,0
46,31,10,4,0
103,73,87,12,0
120,67,128,15,0
102,82,69,14,0
114,86,127,11,0
106,72,121,9,0
108,81,97,4,0
90,81,70,7,0
37,28,14,0,0
40,37,5,1,0
17,17,13,2,0
105,70,121,15,0
108,69,86,12,0
90,75,69,5,0
47,36,9,3,0
53,35,13,0,0
50,35,18,0,0
103,60,24,0,0
119,93,111,21,0
45,33,4,0,0
42,35,11,6,0
32,35,5,5,0
37,60,23,6,0
105,76,104,14,0
64,40,16,1,0
45,37,12,0,0
49,39,15,3,0
100,69,90,12,0
50,32,8,0,0
122,92,98,15,0
96,70,71,12,0
105,80,102,17,0
37,37,11,0,0
41,32,5,0,0
47,30,7,3,0
91,51,60,4,0
38,31,6,0,0
95,84,74,4,0
100,71,94,10,0
42,27,10,0,0
50,30,12,1,0
49,28,14,0,0
91,37,21,4,0
36,33,9,0,0
115,81,78,17,0
100,62,70,4,0
95,71,86,13,0
104,70,72,6,0
118,83,119,11,0
106,82,81,18,0
35,27,14,3,0
101,83,81,6,0
42,21,72,18,0
37,29,10,3,0
42,41,11,0,0
97,73,82,6,0
105,74,93,15,0
62,37,13,2,0
46,39,6,7,0
98,65,71,12,0
43,36,5,3,0
45,33,15,2,0
101,81,76,13,0
74,45,12,2,0
90,88,86,17,0
83,36,12,1,0
101,53,18,0,0
91,43,22,0,0
44,68,2,2,0
41,37,14,0,0
93,88,86,14,0
51,36,8,2,0
45,30,14,0,0
98,80,115,19,0
102,72,74,13,0
92,57,45,6,0
44,32,14,0,0
41,29,14,2,0
38,38,5,1,0
97,85,71,18,0
38,36,11,2,0
94,73,105,8,0
29,27,6,3,0
35,34,14,0,0
50,37,8,1,0
104,102,97,19,0
94,72,54,0,0
114,90,99,17,0
105,79,87,14,0
44,32,11,0,0
45,33,8,0,0
126,91,118,26,0
98,68,60,9,0
72,52,14,0,0
45,32,11,4,0
110,86,86,6,0
115,83,105,21,0
39,31,10,2,0
99,66,64,15,0
95,75,109,11,0
115,86,87,8,0
96,69,73,5,0
115,90,166,24,0
46,43,11,4,0
104,88,146,19,0
80,42,28,1,0
40,30,14,1,0
46,31,13,1,0
38,30,16,2,0
42,33,10,2,0
58,50,7,6,0
49,30,10,0,0
103,76,67,4,0
37,27,3,1,0
38,29,11,3,0
90,64,69,8,0
122,76,113,6,0
38,36,13,2,0
87,42,22,3,0
93,76,111,11,0
74,49,14,5,0
101,72,62,4,0
52,41,12,0,0
34,36,12,0,0
80,72,70,7,0
46,35,10,5,0
97,77,71,11,0
108,75,116,15,0
49,34,11,5,0
91,46,14,0,0
63,79,109,63,1
106,80,91,16,0
40,40,11,0,0
105,92,100,15,0
43,43,6,0,0
33,32,11,0,0
35,31,10,2,0
114,92,131,18,0
26,27,12,0,0
82,32,30,8,0
42,30,17,2,0
91,68,65,6,0
98,98,139,39,1
44,38,8,1,0
95,84,71,4,0
100,77,99,11,0
97,86,89,15,0
100,56,30,1,0
83,70,59,6,0
40,34,7,0,0
101,77,86,14,0
93,64,80,7,0
36,32,6,0,0
104,75,80,9,0
93,78,38,3,0
29,25,19,0,0
80,42,17,2,0
83,42,24,6,0
41,32,8,2,0
48,36,25,1,0
107,88,88,12,0
108,79,127,25,0
38,33,11,0,0
114,89,84,16,0
33,26,6,2,0
112,90,111,8,0
44,40,8,3,0
103,80,117,12,0
115,86,118,14,0
102,79,107,15,0
94,46,20,1,0
103,80,77,13,0
47,34,19,3,0
99,82,77,9,0
110,66,90,6,0
35,31,12,0,0
100,78,90,17,0
99,85,87,6,0
39,28,7,0,0
42,30,12,1,0
43,43,13,1,0
115,97,137,23,0
44,32,13,0,0
92,75,91,9,0
32,25,9,3,0
102,83,83,10,0
103,77,116,10,0
72,39,8,1,0
96,79,73,10,0
102,71,95,8,0
32,16,16,1,0
95,69,57,8,0
92,37,27,0,0
41,35,11,1,0
46,40,8,0,0
20,14,16,1,0
94,70,81,7,0
106,82,85,9,0
100,88,98,20,0
99,84,93,8,0
95,89,90,17,0
96,75,88,15,0
105,54,33,3,0
106,77,94,17,0
45,25,12,2,0
107,78,109,6,0
40,31,9,0,0
80,77,138,81,1
40,34,14,0,0
54,26,13,4,0
44,40,10,0,0
102,82,72,18,0
35,30,7,0,0
89,79,64,12,0
37,26,10,0,0
95,69,103,12,0
32,30,9,0,0
45,34,5,6,0
57,41,11,4,0
67,38,14,5,0
98,94,91,14,0
101,90,109,18,0
50,34,11,0,0
122,93,135,11,0
45,29,8,0,0
60,66,49,42,1
101,81,70,1,0
102,69,87,10,0
115,64,58,18,0
42,41,11,4,0
29,30,12,2,0
114,91,133,18,0
40,28,17,0,0
99,94,74,20,0
61,27,39,5,0
118,110,165,33,0
72,69,49,4,0
38,33,11,0,0
118,69,83,16,0
101,62,75,13,0
42,41,11,4,0
106,80,68,3,0
106,63,27,0,0
100,89,104,14,0
103,96,106,13,0
74,75,177,111,1
43,36,9,2,0
101,74,102,18,0
38,30,14,0,0
47,37,13,5,0
52,35,11,1,0
37,27,8,0,0
76,79,81,52,1
35,22,6,3,0
27,22,10,2,0
101,79,60,12,0
109,82,95,14,0
104,83,80,9,0
38,28,16,6,0
35,32,11,0,0
37,31,9,0,0
83,49,15,3,0
99,66,72,10,0
114,87,131,15,0
108,78,60,6,0
49,34,7,0,0
57,45,21,2,0
109,85,86,9,0
89,66,52,12,0
46,33,9,3,0
19,18,18,0,0
42,34,13,0,0
97,77,119,21,0
51,35,14,0,0
115,76,91,13,0
95,51,30,3,0
106,74,65,9,0
51,32,13,0,0
43,35,15,5,0
36,21,10,0,0
102,78,88,16,0
40,36,7,0,0
110,71,89,20,0
37,29,2,0,0
96,89,113,28,0
107,53,24,2,0
104,87,113,12,0
92,53,23,1,0
96,46,22,0,0
43,34,11,0,0
45,27,9,1,0
88,39,19,0,0
37,27,7,0,0
94,76,99,7,0
52,40,16,4,0
122,112,107,15,0
45,39,7,0,0
41,34,10,4,0
34,95,29,4,0
115,62,102,16,0
92,64,70,17,0
114,74,87,16,0
40,35,10,0,0
99,72,65,9,0
45,36,12,0,0
66,49,15,0,0
37,36,15,0,0
106,87,76,6,0
39,33,16,3,0
47,34,8,1,0
101,66,57,9,0
44,28,8,0,0
41,31,9,5,0
100,74,76,7,0
39,23,2,0,0
45,29,10,0,0
73,45,18,0,0
33,31,5,1,0
44,41,14,3,0
106,77,76,16,0
48,34,6,2,0
102,72,117,12,0
43,41,11,0,0
105,78,98,13,0
92,42,20,0,0
40,27,10,1,0
53,34,8,3,0
46,30,22,2,0
50,32,22,2,0
105,77,84,18,0
105,78,96,14,0
48,36,15,3,0
101,81,71,11,0
95,73,87,10,0
14,9,7,0,0
43,35,9,7,0
120,78,87,19,0
99,76,95,14,0
102,53,25,3,0
15,17,17,3,0
102,50,23,3,0
99,80,102,12,0
101,77,99,17,0
104,75,127,14,0
45,38,7,6,0
99,89,114,16,0
45,38,13,5,0
48,36,16,0,0
105,55,23,1,0
95,67,59,10,0
111,84,85,18,0
99,81,91,13,0
37,34,8,0,0
38,29,12,4,0
99,39,25,2,0
100,84,81,8,0
50,38,13,3,0
64,44,11,6,0
102,76,92,8,0
99,44,20,1,0
90,50,17,0,0
16,12,8,0,0
39,27,8,0,0
99,51,50,1,0
94,69,90,7,0
95,86,140,16,0
45,29,16,0,0
42,36,12,1,0
46,29,11,0,0
91,63,77,18,0
48,26,20,3,0
41,36,8,3,0
95,44,15,4,0
44,32,12,3,0
44,43,7,2,0
47,32,12,0,0
113,62,141,17,0
96,55,22,2,0
47,34,19,0,0
39,32,5,0,0
31,28,7,0,0
67,47,13,3,0
95,56,28,1,0
43,30,12,4,0
42,33,10,0,0
101,54,24,0,0
41,31,11,0,0
33,30,5,1,0
47,31,13,1,0
105,85,81,8,0
103,77,85,10,0
43,31,11,0,0
97,82,80,15,0
110,86,88,14,0
95,70,70,11,0
43,28,7,1,0
49,35,12,0,0
88,49,20,0,0
47,32,16,0,0
36,22,5,0,0
48,34,13,3,0
36,29,4,4,0
31,27,9,1,0
105,81,101,19,0
100,71,96,14,0
104,55,30,0,0
40,26,20,4,0
110,73,116,12,0
104,77,77,6,0
15,17,6,0,0
45,37,10,3,0
77,60,81,1,0
16,22,14,7,0
43,37,6,0,0
13,12,13,2,0
46,26,14,0,0
95,82,109,16,0
90,68,52,13,0
89,89,66,8,0
102,60,93,7,0
99,72,65,13,0
100,41,28,0,0
96,48,23,0,0
126,62,123,21,0
44,33,8,0,0
103,75,124,12,0
48,33,15,1,0
70,33,17,2,0
48,38,11,2,0
45,37,8,0,0
42,31,16,0,0
102,82,74,18,0
83,67,82,11,0
95,50,26,2,0
109,90,137,20,0
41,30,7,1,0
106,56,19,0,0
87,35,29,0,0
41,37,11,0,0
74,29,34,0,0
48,24,9,0,0
119,77,128,19,0
49,36,9,0,0
43,31,42,2,0
47,33,14,0,0
46,25,10,0,0
105,99,129,15,0
102,63,67,3,0
50,44,9,0,0
108,75,93,16,0
41,34,15,0,0
115,74,96,19,0
32,30,10,0,0
42,38,9,1,0
103,72,109,10,0
48,32,12,0,0
53,32,19,1,0
40,35,13,3,0
85,58,50,10,0
113,84,96,8,0
45,35,11,3,0
105,75,113,17,0
105,76,99,13,0
111,80,96,23,0
44,26,15,0,0
107,79,79,8,0
49,29,18,0,0
46,36,12,5,0
109,68,85,15,0
32,20,11,3,0
55,46,14,1,0
47,27,32,0,0
113,81,99,9,0
31,28,10,0,0
71,36,59,5,0
46,30,11,0,0
40,14,12,1,0
99,94,101,24,0
98,41,31,1,0
17,21,17,1,0
48,32,9,0,0
77,40,17,8,0
95,79,138,16,0
119,66,77,11,0
55,42,16,0,0
111,73,99,19,0
45,31,12,2,0
98,75,81,20,0
91,43,25,0,0
38,25,22,0,0
101,81,103,18,0
95,71,71,10,0
93,82,99,27,0
116,87,139,25,0
106,91,134,24,0
36,25,19,1,0
97,76,132,12,0
66,39,14,1,0
48,37,18,5,0
93,67,78,9,0
38,30,6,0,0
50,27,14,2,0
75,34,25,2,0
87,48,14,2,0
38,27,11,3,0
35,27,16,2,0
54,35,16,2,0
46,39,4,0,0
45,31,11,3,0
115,83,174,24,0
43,34,6,0,0
44,34,15,2,0
44,35,5,1,0
47,30,11,4,0
72,93,94,104,1
116,80,131,26,0
101,80,62,11,0
48,34,14,4,0
78,48,22,9,0
39,44,9,5,0
105,74,69,13,0
111,80,127,17,0
111,87,102,19,0
98,70,54,9,0
33,28,13,2,0
44,34,15,1,0
84,67,72,13,0
106,70,78,14,0
69,79,101,73,1
38,35,12,0,0
35,37,9,0,0
111,51,111,9,0
41,35,10,0,0
70,90,112,76,1
38,24,5,2,0
40,33,15,0,0
121,87,92,20,0
102,69,50,12,0
92,71,61,4,0
83,47,27,5,0
100,50,28,2,0
47,34,11,0,0
39,38,11,2,0
32,25,8,0,0
87,66,62,11,0
41,40,13,0,0
40,39,10,0,0
91,76,76,5,0
36,30,10,0,0
74,120,249,248,1
50,33,11,0,0
40,28,11,2,0
37,36,14,0,0
59,29,15,1,0
53,37,11,2,0
102,50,25,4,0
104,84,85,7,0
101,79,66,7,0
53,41,24,0,0
96,96,104,20,0
42,24,18,1,0
90,58,55,8,0
46,36,12,2,0
104,86,92,16,0
118,85,98,9,0
112,70,57,13,0
38,33,8,5,0
110,75,88,10,0
97,83,87,15,0
106,67,105,16,0
114,89,109,15,0
40,35,12,0,0
36,28,7,0,0
41,30,7,0,0
42,31,11,3,0
117,81,96,14,0
112,81,76,18,0
36,37,12,0,0
51,33,12,0,0
96,69,77,17,0
96,56,20,4,0
37,35,7,2,0
100,82,127,14,0
63,30,11,3,0
79,48,19,2,0
29,15,10,0,0
107,91,83,12,0
102,66,71,2,0
98,72,74,6,0
45,29,15,0,0
93,91,90,12,0
31,32,5,0,0
104,82,74,8,0
49,30,12,0,0
50,31,9,0,0
110,83,105,3,0
98,78,83,6,0
106,81,81,12,0
99,73,92,16,0
120,78,123,15,0
62,53,14,3,0
93,78,97,20,0
41,39,6,7,0
105,65,69,4,0
66,83,105,87,1
46,34,11,0,0
102,46,33,3,0
101,75,69,3,0
90,77,75,7,0
70,56,24,3,0
98,66,87,13,0
103,74,79,16,0
118,93,89,17,0
110,83,59,16,0
106,93,123,16,0
27,20,5,0,0
41,27,8,2,0
43,35,12,2,0
50,32,12,0,0
105,83,132,19,0
44,28,13,2,0
81,53,20,0,0
49,36,15,0,0
124,83,123,7,0
87,65,72,37,1
48,28,15,0,0
41,35,5,0,0
48,42,20,3,0
121,79,133,21,0
51,41,15,2,0
44,39,17,6,0
45,31,13,0,0
49,25,8,4,0
48,45,15,2,0
39,35,17,3,0
45,23,14,0,0
37,25,13,0,0
104,84,89,9,0
95,67,73,11,0
41,32,9,0,0
113,101,151,21,0
102,80,103,6,0
40,35,8,0,0
47,42,18,0,0
39,30,13,2,0
36,31,12,6,0
86,85,143,11,0
108,71,70,10,0
100,87,86,13,0
116,88,113,12,0
48,33,10,0,0
53,38,11,0,0
105,52,28,0,0
95,78,76,15,0
118,92,144,14,0
104,64,99,9,0
60,35,14,0,0
42,30,8,0,0
111,90,165,14,0
45,34,7,1,0
40,32,21,1,0
89,67,53,4,0
44,31,8,3,0
55,39,13,3,0
43,39,2,0,0
36,32,12,0,0
41,29,10,3,0
42,26,16,0,0
39,31,15,1,0
102,73,98,14,0
36,32,4,4,0
33,31,4,0,0
40,25,15,2,0
